,time, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta,Valence,Arousal,Dominance
179,159.7836229801178,0,0,77,60,6088,5173,1759,2525,8041,3557,6679,4352,5,2,3
180,160.749831199646,0,0,66,64,5266,5856,21743,37342,13503,51863,12177,22237,5,2,3
181,161.7833445072174,0,0,83,56,4146,2988,3478,25233,13346,5569,9117,7536,5,2,3
182,162.75213813781738,0,0,77,69,2578,2218,11163,7238,8425,34392,15154,4298,5,2,3
183,163.7883162498474,0,0,66,81,9527,1390,4268,5192,11412,24738,8676,15239,5,2,3
184,164.75679469108582,0,0,61,74,5749,7832,21810,4515,5106,12730,26057,16296,5,2,3
185,165.75160479545593,0,0,44,87,2072,2914,11915,22812,10036,34863,14264,23775,5,2,3
186,166.7540566921234,0,0,61,66,4126,1976,3636,2473,12814,3807,9077,5661,5,2,3
187,167.7690348625183,0,0,67,61,3204,2376,4431,7050,13250,12371,13527,5903,5,2,3
188,168.76656770706177,0,0,83,57,4173,3566,5860,4460,8945,10274,16351,3980,5,2,3
189,169.76493167877197,0,0,83,57,4173,3566,5860,4460,8945,10274,16351,3980,5,2,3
190,169.76493167877197,0,0,83,57,4173,3566,5860,4460,8945,10274,16351,3980,5,2,3
191,169.76616191864014,0,0,80,64,5136,4423,13856,13542,11778,73358,9932,31087,5,2,3
192,170.76521921157837,0,0,63,87,7616,2936,43259,9538,14398,26923,5519,16400,5,2,3
193,171.77063536643982,0,0,63,84,7534,3354,19481,29455,22722,6342,12375,16246,5,2,3
194,172.77625608444214,0,0,57,84,5261,3881,12500,16522,12566,14175,15937,25280,5,2,3
195,173.7741870880127,0,0,70,70,6391,4182,7684,5359,14081,11885,13004,13828,5,2,3
196,174.77210426330566,0,0,75,57,5242,3090,8493,900,10164,15843,16703,10795,5,2,3
197,175.7698369026184,0,0,50,54,4555,7951,20843,95573,6845,29005,13755,113208,5,2,3
198,176.39156651496887,0,40,50,54,4555,7951,20843,95573,6845,29005,13755,113208,5,2,3
199,176.5492777824402,0,31,50,54,4555,7951,20843,95573,6845,29005,13755,113208,5,2,3
200,176.76731371879578,0,0,43,54,9635,4579,30812,1296120,33198,79827,13157,153313,5,2,3
201,177.76743340492249,0,0,30,50,885,864,2878,55318,2544,2981,1064,14601,5,2,3
202,178.7702281475067,0,0,24,48,5280,6968,21001,367873,12186,13966,3838,54486,5,2,3
203,179.7677297592163,0,0,24,48,5280,6968,21001,367873,12186,13966,3838,54486,5,2,3
204,179.76901817321777,0,0,24,48,5280,6968,21001,367873,12186,13966,3838,54486,5,2,3
205,179.76901817321777,0,0,43,51,5198,4219,5047,5909,7615,9624,12167,11684,5,2,3
206,180.7672758102417,0,0,48,54,2697,2626,10801,6858,10005,22336,14295,22026,5,2,3
207,181.80278539657596,0,0,56,63,2739,6191,25482,11597,13120,4466,24054,10012,5,2,3
208,182.76628041267395,0,0,63,67,10237,3587,8216,22319,10959,22561,13422,15761,5,2,3
209,183.76672840118408,0,0,57,56,5152,4243,3155,2934,4193,2872,9391,19716,5,2,3
210,184.7617034912109,0,0,60,63,2769,4146,15136,9694,9704,25506,17579,3338,5,2,3
